,Unnamed: 0,image_id,file_name,text,home or hotel,person,bottle,cup,bowl,chair,couch,bed,dining table,tv,laptop,remote,cell phone,oven,sink,book,permuted_text
16,51001,361282,images/real/000000361282.jpg,"1 bottle, 2 cup, 1 clock, 2 toothbrush",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1 cup
17,52573,491,images/real/000000000491.jpg,4 teddy bear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,51424,460482,images/real/000000460482.jpg,"1 cat, 1 tv, 1 laptop, 2 cell phone",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,"1 tv, 1 laptop, 1 cell phone"
19,52746,231080,images/real/000000231080.jpg,"1 person, 1 toilet",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 person
20,50944,92173,images/real/000000092173.jpg,"1 cat, 1 handbag, 1 cup, 1 chair, 1 laptop",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,"1 cup, 1 chair, 1 laptop"
21,50814,320180,images/real/000000320180.jpg,"1 person, 2 couch, 1 laptop",1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"1 person, 1 couch, 1 laptop"
22,53116,530869,images/real/000000530869.jpg,"1 person, 1 bench, 2 bowl, 2 potted plant, 1 sink",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"1 person, 1 bowl, 1 sink"
23,52009,494671,images/real/000000494671.jpg,"1 person, 1 bed",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1 person, 1 bed"
24,53641,180696,images/real/000000180696.jpg,"1 person, 1 tie",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 person
25,52883,529383,images/real/000000529383.jpg,"1 handbag, 2 laptop, 2 cell phone, 2 book",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,"1 laptop, 1 cell phone, 1 book"
26,50971,453601,images/real/000000453601.jpg,"1 potted plant, 1 microwave, 1 refrigerator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,51954,143847,images/real/000000143847.jpg,"1 dog, 1 bed",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1 bed
28,49718,451493,images/real/000000451493.jpg,"1 cat, 1 bowl",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1 bowl
29,51234,478636,images/real/000000478636.jpg,"1 person, 1 car, 2 truck, 2 horse",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 person
30,50934,354424,images/real/000000354424.jpg,"1 cat, 1 bed",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1 bed
31,52274,138461,images/real/000000138461.jpg,"1 chair, 1 dining table, 1 cell phone",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"1 chair, 1 dining table, 1 cell phone"
32,51862,342650,images/real/000000342650.jpg,"1 person, 1 bottle, 1 knife, 2 bowl, 1 pizza, 2 sink",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"1 person, 1 bowl, 1 sink"
33,53084,84097,images/real/000000084097.jpg,"1 person, 1 tie, 1 bottle, 1 cell phone",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"1 person, 1 cell phone"
34,49531,29706,images/real/000000029706.jpg,"1 person, 7 bottle, 1 refrigerator",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 person
35,50967,66028,images/real/000000066028.jpg,"1 person, 1 knife, 1 scissors",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 person
36,52614,132067,images/real/000000132067.jpg,"1 person, 1 chair, 1 bed, 1 tv, 1 book",1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,"1 person, 1 chair, 1 bed, 1 tv, 1 book"
37,50998,131075,images/real/000000131075.jpg,"1 chair, 2 tv, 2 laptop",0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,"1 chair, 1 tv, 1 laptop"
38,49730,465825,images/real/000000465825.jpg,"3 tv, 2 laptop, 1 mouse, 3 keyboard, 1 cell phone",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,"1 tv, 1 laptop, 1 cell phone"
39,50088,541109,images/real/000000541109.jpg,"1 cat, 1 umbrella, 3 book",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"1 bottle, 1 book"
40,51737,167827,images/real/000000167827.jpg,"1 person, 1 toothbrush",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 person, 1 bottle"
41,52240,30725,images/real/000000030725.jpg,6 horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,53495,5142,images/real/000000005142.jpg,"1 cat, 1 suitcase, 1 chair, 1 bed",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"1 chair, 1 bed"
43,51711,334240,images/real/000000334240.jpg,"1 person, 1 chair, 1 tv, 3 remote",1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,"1 person, 1 chair, 1 tv, 1 remote"
44,52881,130456,images/real/000000130456.jpg,"1 chair, 1 couch, 1 laptop, 3 remote",0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,"1 bottle, 1 chair, 1 couch, 1 laptop, 1 remote"
45,49941,425914,images/real/000000425914.jpg,"1 cat, 1 couch",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1 couch
46,52829,255573,images/real/000000255573.jpg,"1 person, 1 car, 1 cup, 1 tv, 1 mouse, 1 keyboard",1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"1 person, 1 cup, 1 tv"
47,53384,493199,images/real/000000493199.jpg,"1 person, 2 pizza, 1 oven",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"1 person, 1 oven"
48,51940,463989,images/real/000000463989.jpg,"1 person, 1 bottle, 1 couch, 2 remote",1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,"1 person, 1 bottle, 1 couch, 1 remote"
49,49493,195155,images/real/000000195155.jpg,"1 dog, 1 chair",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1 chair
50,50596,109290,images/real/000000109290.jpg,"1 person, 3 chair, 1 dining table",1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"1 person, 1 chair, 1 dining table"
51,50621,260097,images/real/000000260097.jpg,1 remote,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1 remote
52,53086,357342,images/real/000000357342.jpg,"1 cat, 1 dog, 1 mouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,51218,43425,images/real/000000043425.jpg,1 dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,53079,151609,images/real/000000151609.jpg,"1 cat, 1 tv, 1 book",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"1 tv, 1 book"
55,49389,496799,images/real/000000496799.jpg,"1 person, 1 bottle, 1 knife, 3 orange, 1 broccoli, 2 potted plant",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 person
56,49846,284846,images/real/000000284846.jpg,"1 person, 1 bird, 1 chair, 1 cell phone",1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"1 person, 1 chair, 1 cell phone"
57,49769,37367,images/real/000000037367.jpg,"1 bottle, 1 cup, 5 chair, 1 couch, 1 dining table, 1 laptop, 1 mouse, 1 remote",0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,"1 cup, 1 chair, 1 couch, 1 dining table, 1 laptop, 1 remote"
58,52506,190125,images/real/000000190125.jpg,"1 person, 1 umbrella",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 person
59,51240,354493,images/real/000000354493.jpg,1 cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,51816,550063,images/real/000000550063.jpg,"1 dog, 1 couch",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1 couch
61,50877,521967,images/real/000000521967.jpg,1 teddy bear,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1 bottle
62,52891,12700,images/real/000000012700.jpg,"1 person, 3 bottle, 3 chair, 2 couch, 3 potted plant, 15 book, 1 clock, 2 vase",1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,"1 person, 1 bottle, 1 chair, 1 couch, 1 book"
63,52985,36957,images/real/000000036957.jpg,"1 person, 1 tie",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 person
64,53997,565091,images/real/000000565091.jpg,"1 person, 1 cell phone",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"1 person, 1 cell phone"
65,53166,527224,images/real/000000527224.jpg,"1 person, 1 bed, 1 book",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"1 person, 1 bed, 1 book"
66,49468,468608,images/real/000000468608.jpg,"1 person, 1 cup, 1 knife, 1 cake, 1 dining table",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"1 person, 1 cup, 1 dining table"
67,52828,131203,images/real/000000131203.jpg,"1 laptop, 1 mouse, 1 keyboard",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1 laptop
68,50882,438701,images/real/000000438701.jpg,"1 person, 2 fork, 1 knife, 2 bowl, 2 broccoli, 2 carrot, 1 couch, 1 teddy bear",1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"1 person, 1 bowl, 1 couch"
69,49563,41505,images/real/000000041505.jpg,"1 cat, 1 couch, 1 laptop",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"1 couch, 1 laptop"
70,52333,253785,images/real/000000253785.jpg,"1 dog, 1 cup, 1 chair",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"1 bottle, 1 cup, 1 chair"
71,50711,353006,images/real/000000353006.jpg,"1 person, 1 tie, 1 tv",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"1 person, 1 bottle, 1 tv"
72,50718,39548,images/real/000000039548.jpg,"1 person, 6 bottle, 3 cup, 2 knife, 4 spoon, 1 bowl, 1 chair, 1 dining table, 1 oven, 1 sink, 1 refrigerator",1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,"1 person, 1 cup, 1 bowl, 1 chair, 1 dining table, 1 oven, 1 sink"
73,50561,244633,images/real/000000244633.jpg,"2 bottle, 1 cup, 1 chair, 1 laptop",0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,"1 bottle, 1 cup, 1 chair, 1 laptop"
74,50835,391394,images/real/000000391394.jpg,"1 person, 1 bowl, 1 oven, 1 vase",1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,"1 person, 1 bottle, 1 bowl, 1 oven"
75,50373,192818,images/real/000000192818.jpg,1 motorcycle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,52207,314556,images/real/000000314556.jpg,"2 toilet, 2 sink",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1 sink
77,53963,168122,images/real/000000168122.jpg,"1 chair, 1 tv, 14 book",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,"1 chair, 1 tv, 1 book"
78,52596,118605,images/real/000000118605.jpg,"1 person, 1 handbag, 1 cup, 2 couch, 1 potted plant, 2 tv",1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,"1 person, 1 cup, 1 couch, 1 tv"
79,49666,327813,images/real/000000327813.jpg,"1 chair, 2 couch, 1 potted plant, 2 book, 1 vase",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,"1 chair, 1 couch, 1 book"
80,51353,503826,images/real/000000503826.jpg,"1 tv, 1 laptop, 2 mouse, 1 keyboard",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,"1 bottle, 1 tv, 1 laptop"
81,50867,547985,images/real/000000547985.jpg,"1 cup, 1 laptop, 1 vase",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"1 cup, 1 laptop"
82,52771,116031,images/real/000000116031.jpg,"2 motorcycle, 1 cat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,49652,122982,images/real/000000122982.jpg,"1 sports ball, 1 bottle, 1 chair, 1 laptop, 1 mouse, 1 scissors",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"1 chair, 1 laptop"
84,52788,443192,images/real/000000443192.jpg,"1 person, 1 cat, 1 couch, 1 bed, 1 cell phone, 3 book",1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,"1 person, 1 couch, 1 bed, 1 cell phone, 1 book"
85,49864,544046,images/real/000000544046.jpg,"1 person, 1 keyboard, 1 cell phone, 1 book",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"1 person, 1 cell phone, 1 book"
86,52705,466967,images/real/000000466967.jpg,"1 mouse, 1 keyboard",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
87,52288,237017,images/real/000000237017.jpg,"1 person, 1 bowl, 1 toilet",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"1 person, 1 bottle, 1 bowl"
88,52276,178504,images/real/000000178504.jpg,"1 person, 1 bed",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1 person, 1 bed"
89,51515,41753,images/real/000000041753.jpg,"1 person, 1 cup, 2 chair, 1 tv, 2 mouse, 1 remote, 1 keyboard, 1 teddy bear",1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,"1 person, 1 cup, 1 chair, 1 tv, 1 remote"
90,50764,48475,images/real/000000048475.jpg,"1 bottle, 1 laptop, 1 remote, 1 scissors",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"1 laptop, 1 remote"
91,51569,472617,images/real/000000472617.jpg,"3 bottle, 10 chair, 1 dining table, 11 book, 1 clock",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,"1 bottle, 1 chair, 1 dining table, 1 book"
92,52158,194420,images/real/000000194420.jpg,"1 dog, 1 couch, 1 tv",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"1 couch, 1 tv"
93,49485,397005,images/real/000000397005.jpg,"1 person, 1 cake, 1 chair, 1 dining table",1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,"1 person, 1 bottle, 1 chair, 1 dining table"
94,52280,457924,images/real/000000457924.jpg,3 scissors,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1 bottle
95,53085,313718,images/real/000000313718.jpg,"1 person, 2 car, 2 bus, 1 horse",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 person, 1 bottle"
96,53348,425117,images/real/000000425117.jpg,"1 cup, 1 chair, 3 tv, 3 laptop, 1 mouse, 1 remote, 2 keyboard, 3 book",0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,"1 cup, 1 chair, 1 tv, 1 laptop, 1 remote, 1 book"
97,49731,273556,images/real/000000273556.jpg,"1 person, 1 toilet",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 person
98,50422,462501,images/real/000000462501.jpg,"1 person, 2 bottle, 1 cup, 1 toilet, 1 sink, 1 clock",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"1 person, 1 cup, 1 sink"
99,49640,165835,images/real/000000165835.jpg,"1 person, 1 bed",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"1 person, 1 bottle, 1 bed"
100,51304,45197,images/real/000000045197.jpg,"1 cat, 1 bed, 1 laptop",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"1 bed, 1 laptop"
101,53533,550978,images/real/000000550978.jpg,"1 dog, 1 scissors",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102,50084,495607,images/real/000000495607.jpg,2 cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
103,49953,554534,images/real/000000554534.jpg,2 teddy bear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104,53967,531014,images/real/000000531014.jpg,"1 person, 2 sink",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"1 person, 1 bottle, 1 sink"
105,49872,367836,images/real/000000367836.jpg,"1 cat, 1 suitcase",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
106,52043,23709,images/real/000000023709.jpg,"1 person, 1 tennis racket",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 person, 1 bottle"
107,51154,103331,images/real/000000103331.jpg,"1 dog, 2 couch",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1 couch
108,50027,557780,images/real/000000557780.jpg,"1 dog, 1 sandwich, 1 hot dog, 1 bed",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1 bed
109,51208,158876,images/real/000000158876.jpg,"1 person, 1 bottle, 5 banana, 1 oven",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"1 person, 1 oven"
110,53606,535050,images/real/000000535050.jpg,1 suitcase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
111,51064,487333,images/real/000000487333.jpg,"1 cat, 2 bottle, 1 banana, 1 couch",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1 couch
112,51982,418938,images/real/000000418938.jpg,"1 toilet, 1 sink",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1 sink
113,50640,100386,images/real/000000100386.jpg,"1 person, 1 backpack, 1 handbag, 3 bottle, 1 bowl, 2 chair, 1 laptop, 1 book, 2 vase",1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,"1 person, 1 bottle, 1 bowl, 1 chair, 1 laptop, 1 book"
114,52760,54717,images/real/000000054717.jpg,"2 cat, 1 dining table",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1 dining table
115,49502,34993,images/real/000000034993.jpg,"1 person, 2 cup, 2 chair, 2 tv, 1 laptop, 1 sink, 1 refrigerator",1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,"1 person, 1 cup, 1 chair, 1 tv, 1 laptop, 1 sink"
116,52999,495438,images/real/000000495438.jpg,"1 person, 2 knife, 1 cake",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 person
117,52453,540326,images/real/000000540326.jpg,"1 person, 1 chair, 1 potted plant, 1 tv, 1 remote",1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,"1 person, 1 chair, 1 tv, 1 remote"
118,49710,138103,images/real/000000138103.jpg,"1 person, 1 banana",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 person
119,49453,524649,images/real/000000524649.jpg,"1 person, 6 bottle, 1 apple, 3 orange, 1 refrigerator",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 person, 1 bottle"
120,52785,80200,images/real/000000080200.jpg,"1 person, 1 umbrella, 6 bottle",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 person, 1 bottle"
121,51895,304950,images/real/000000304950.jpg,"1 backpack, 2 handbag, 1 laptop, 1 mouse, 1 keyboard, 1 cell phone, 1 book",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,"1 laptop, 1 cell phone, 1 book"
122,52008,909,images/real/000000000909.jpg,"1 bottle, 1 cup, 2 tv, 1 keyboard",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"1 cup, 1 tv"
123,49935,497528,images/real/000000497528.jpg,"1 bottle, 3 cup, 3 knife, 2 spoon, 1 oven, 1 refrigerator",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"1 cup, 1 oven"
124,49481,540795,images/real/000000540795.jpg,"1 person, 2 cup, 1 toilet, 1 sink",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"1 person, 1 bottle, 1 cup, 1 sink"
125,53636,2270,images/real/000000002270.jpg,"2 cup, 2 bowl, 3 chair, 1 couch, 1 potted plant, 2 book, 2 vase",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,"1 cup, 1 bowl, 1 chair, 1 couch, 1 book"
126,51684,580971,images/real/000000580971.jpg,"1 person, 1 boat, 1 tv",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"1 person, 1 bottle, 1 tv"
127,50219,207740,images/real/000000207740.jpg,"1 cat, 1 suitcase, 1 bed",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1 bed
128,53540,484401,images/real/000000484401.jpg,"1 cat, 14 book",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1 book
129,52344,176321,images/real/000000176321.jpg,"1 person, 1 bottle, 1 cup, 2 knife, 1 microwave, 1 sink, 1 scissors",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"1 person, 1 cup, 1 sink"
130,53761,173350,images/real/000000173350.jpg,"2 dog, 1 toilet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
131,52017,252679,images/real/000000252679.jpg,"1 cat, 1 cup, 1 chair, 2 tv, 1 laptop, 2 mouse, 1 keyboard, 3 book",0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,"1 bottle, 1 cup, 1 chair, 1 tv, 1 laptop, 1 book"
132,50014,18658,images/real/000000018658.jpg,"1 bottle, 1 potted plant, 1 tv, 2 laptop, 1 keyboard",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"1 tv, 1 laptop"
133,53313,208082,images/real/000000208082.jpg,"1 person, 1 bed, 2 teddy bear",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1 person, 1 bed"
134,51386,168832,images/real/000000168832.jpg,"6 chair, 1 couch, 3 potted plant, 1 dining table, 1 microwave, 1 oven, 1 sink, 7 book",0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,"1 chair, 1 couch, 1 dining table, 1 oven, 1 sink, 1 book"
135,50180,14804,images/real/000000014804.jpg,"1 cat, 1 chair, 4 book, 1 vase",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1 chair, 1 book"
136,51320,292596,images/real/000000292596.jpg,"1 person, 1 knife, 1 pizza, 1 oven",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"1 person, 1 bottle, 1 oven"
137,53916,438993,images/real/000000438993.jpg,"1 person, 4 sink",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"1 person, 1 sink"
138,51462,430343,images/real/000000430343.jpg,1 motorcycle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1 bottle
139,53638,541282,images/real/000000541282.jpg,"1 person, 1 bed",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1 person, 1 bed"
140,51368,174890,images/real/000000174890.jpg,1 traffic light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
141,51226,149204,images/real/000000149204.jpg,"1 person, 1 backpack, 1 tie, 1 couch, 1 tv, 1 laptop, 14 book",1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,"1 person, 1 couch, 1 tv, 1 laptop, 1 book"
142,51250,323164,images/real/000000323164.jpg,"1 cat, 1 teddy bear",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
143,53177,295970,images/real/000000295970.jpg,"1 bottle, 1 cup, 2 orange, 1 chair",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"1 cup, 1 chair"
144,53546,126958,images/real/000000126958.jpg,1 clock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
145,50288,553736,images/real/000000553736.jpg,"1 person, 4 bottle, 2 wine glass, 14 cup, 1 knife, 5 bowl, 1 oven, 1 sink, 2 book",1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,"1 person, 1 bottle, 1 cup, 1 bowl, 1 oven, 1 sink, 1 book"
146,53625,20207,images/real/000000020207.jpg,"1 cat, 1 bed",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1 bed
147,51659,280760,images/real/000000280760.jpg,"1 person, 1 chair, 1 bed",1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"1 person, 1 chair, 1 bed"
148,50058,97964,images/real/000000097964.jpg,"1 bottle, 1 tv, 1 laptop, 1 mouse, 1 keyboard, 2 book",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,"1 bottle, 1 tv, 1 laptop, 1 book"
149,52163,541029,images/real/000000541029.jpg,"1 bottle, 2 chair, 1 dining table, 1 laptop",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,"1 chair, 1 dining table, 1 laptop"
150,52576,547130,images/real/000000547130.jpg,"1 cat, 1 chair, 1 vase",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1 chair
151,52341,459136,images/real/000000459136.jpg,1 bench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
152,50699,191981,images/real/000000191981.jpg,"1 person, 1 skateboard",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 person
153,50044,564655,images/real/000000564655.jpg,"1 cat, 1 couch",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1 couch
